city_code,merchant_a,merchant_b,weight,support,z_score
shanghai,0000003,0015480,6.480398259522982,5,87.47519276509124
shanghai,0000003,0070169,5.411799379349554,7,58.63485908736506
shanghai,0000004,0070169,5.1938235232842365,6,55.20753085042227
shanghai,0000004,0035647,5.227793348246501,7,58.89116683637382
shanghai,0000007,0235047,6.211249801013716,6,97.19204382852381
shanghai,0000007,0235046,5.500577415788869,8,68.35232069544652
shanghai,0000202,0082069,6.173874143502991,9,115.2599808285491
shanghai,0000202,0082071,6.091857320209182,5,83.02344074189723
shanghai,0000259,0000273,6.360050122874314,5,93.12601582475644
shanghai,0000264,0000299,7.206673138719322,5,142.1087211794872
shanghai,0000273,0000301,6.395451848076672,5,107.29268625188905
shanghai,0000404,0000438,5.046987766677627,7,45.007904387653525
shanghai,0000407,0000438,5.048832270753083,6,45.34120146364566
shanghai,0000410,0000438,4.998746638988764,5,37.10952282695826
shanghai,0000417,0000438,5.092916204776304,9,54.084729398091596
shanghai,0000431,0000438,4.731610476944078,8,46.37784998683842
shanghai,0000431,0000432,5.532047575967716,5,56.30871123021545
shanghai,0000432,0000438,4.534554724642198,6,34.65928671471899
shanghai,0000437,0000438,5.01789114349834,5,40.0629366838728
shanghai,0000438,0000444,5.093928570567896,8,54.30418756163487
shanghai,0000438,0000442,5.023730736124114,5,41.0097566386091
shanghai,0000628,0000656,7.1580390921344135,5,142.10722315902385
shanghai,0000657,0000662,7.216025304635729,5,142.10899827375397
shanghai,0000669,0000688,6.412493807539808,5,90.78226231861127
shanghai,0000669,0000708,5.866596170545578,5,77.8800545686746
shanghai,0000703,0000708,6.321637424407254,6,99.62957482682076
shanghai,0000925,0000948,6.675401904277323,5,103.78052122145861
shanghai,0000938,0000948,6.65864584802777,5,97.05269430871337
shanghai,0001073,0001078,7.132791405246038,5,142.10640632408388
shanghai,0001114,0001168,6.5113987313564925,5,102.19683823212623
shanghai,0001125,0001140,7.076532723743823,5,142.10448419708464
shanghai,0001138,0001173,7.193059856019693,5,142.1083116072343
shanghai,0001159,0001168,6.502707250295876,5,98.7049222469041
shanghai,0001183,0001225,6.124059791226205,6,84.64214577519084
shanghai,0001187,0001225,6.108783331920855,5,79.6248700888281
shanghai,0001191,0001225,6.115201988944992,6,81.69567888559729
shanghai,0001305,0001350,6.458600830101714,5,96.33153448683218
shanghai,0001312,0001350,5.926884045991737,6,76.16072069549402
shanghai,0001312,0001349,5.736853862884559,5,64.64027452096563
shanghai,0001323,0001349,6.430264912220211,7,106.04255243617543
shanghai,0001424,0001440,5.500913019166863,7,64.55603668098378
shanghai,0001427,0001440,5.50398124259433,7,65.35320784995035
shanghai,0001430,0001437,6.2120672557224745,5,82.34764280822861
shanghai,0001432,0001440,5.469674067285291,5,56.973020137167566
shanghai,0001437,0001440,5.180021372365743,10,61.05896260069759
shanghai,0001440,0001449,5.453315661954668,5,53.36441849345122
shanghai,0001464,0001516,7.138871235007449,5,142.10660554479017
shanghai,0001473,0001517,6.6189397586262855,5,97.88006375633648
shanghai,0001481,0001517,6.631679786249188,5,102.99732329227648
shanghai,0001566,0001605,7.081430011545225,5,142.1046573053324
shanghai,0001761,0001780,5.845853711923063,5,68.55939490896134
shanghai,0001761,0001791,5.535356157395648,5,58.521805834048706
shanghai,0001780,0001791,5.561154745831104,5,60.60415508798779
shanghai,0001786,0001795,6.751300176290864,6,142.0900452594798
shanghai,0001791,0001800,6.117300741982343,6,80.2857081331811
shanghai,0002200,0002225,6.612266015978478,5,97.62338964574504
shanghai,0002204,0002225,6.626251214940985,5,103.24015834110008
shanghai,0002270,0002285,5.187997046468665,5,45.285126838197364
shanghai,0002276,0002285,5.205562915589021,5,48.58146741108629
shanghai,0002285,0002292,5.223951221834141,6,52.28948787281036
shanghai,0002285,0002303,5.198494951969152,5,47.22721307792747
shanghai,0002285,0002315,5.1899557885717575,5,45.64132796665324
shanghai,0002285,0002309,5.188062577842871,5,45.296998780470034
shanghai,0002285,0002301,4.7267326867857475,8,46.62264632051739
shanghai,0002285,0002321,4.454781057689259,6,32.64918785477543
shanghai,0002301,0002321,5.632057248933589,9,73.77128476684643
shanghai,0002338,0002351,7.08968918534548,5,142.10494670030047
shanghai,0002363,0002395,6.551877570053117,5,91.75335402018432
shanghai,0002377,0002395,6.5937589918175155,6,108.48693265873142
shanghai,0002382,0002396,7.1734844602392345,5,142.10770947249028
shanghai,0002528,0002542,7.208790821248647,5,142.10878422702328
shanghai,0002632,0002634,6.012761369267277,9,91.37141797419518
shanghai,0002632,0002636,5.433974372671291,5,51.847141814075314
shanghai,0002634,0002639,6.332663929095095,5,83.71558531918447
shanghai,0002636,0002649,6.382877439681361,8,113.26450469771623
shanghai,0003003,0003021,7.045380198280358,6,142.10335616012054
shanghai,0003032,0003057,6.563887238134446,6,104.56821371393356
shanghai,0003050,0003057,6.543018106803289,5,96.1936258322155
shanghai,0003229,0003246,7.0918202837497715,5,142.10502085651189
shanghai,0003420,0003424,7.230972555357039,5,142.10943403201435
shanghai,0007790,0236781,6.916428349446098,5,142.09815480869017
shanghai,0011078,0011080,7.230530479560406,6,142.10942126838486
shanghai,0011082,0011085,6.079521021079221,5,71.6184678316543
shanghai,0011085,0011086,6.152925050921671,9,96.05962483369962
shanghai,0011085,0011087,6.095354587960123,5,76.30109113985203
shanghai,0012847,0013020,7.221557860777147,7,142.10916057795808
shanghai,0014248,0078818,5.469768185745562,5,55.436518020908
shanghai,0014248,0086148,4.695600021905718,6,25.652735539310275
shanghai,0014248,0078819,4.647353986353802,6,36.48057463573505
shanghai,0014249,0078819,4.832283496378835,7,43.226365910144594
shanghai,0014249,0078820,5.192505397850215,6,50.74044690555357
shanghai,0014269,0234894,6.688955632680091,6,106.64972525832871
shanghai,0014292,0014311,4.8748159193240825,6,41.51505128345543
shanghai,0014292,0014300,4.56968318047275,6,32.440913544804054
shanghai,0014292,0014299,4.348044767461736,6,24.6499946299586
shanghai,0014294,0014304,6.324313493695951,5,72.33826228870063
shanghai,0014297,0014299,4.238643083626353,7,26.229886139402407
shanghai,0014297,0063084,4.959104216004712,9,51.63132167757668
shanghai,0014297,0014310,4.443469589434117,5,28.818311804761997
shanghai,0014297,0014308,2.9752463290455244,6,12.665937614554423
shanghai,0014299,0014320,5.579329523960823,5,50.29559073072915
shanghai,0014299,0014310,4.412260234510614,7,30.403862177500255
shanghai,0014299,0014301,4.065747627630447,6,25.001919829835124
shanghai,0014299,0014308,3.009265103549404,9,14.268373022436709
shanghai,0014300,0014305,5.574026868493178,10,74.79206771944159
shanghai,0014300,0063084,4.604196690984472,8,41.48671486972094
shanghai,0014300,0014308,2.9503468627068035,9,14.151055890064248
shanghai,0014301,0014311,4.466559107414418,9,37.135564174064896
shanghai,0014301,0014308,2.299042538678701,5,7.150414501154588
shanghai,0014301,0014310,4.687939800855484,10,41.772518541716806
shanghai,0014301,0063060,3.428946123523958,7,16.203642407607457
shanghai,0014302,0014304,6.3704179341558715,5,86.98806859213684
shanghai,0014304,0014309,6.367376638284087,5,85.93625350988228
shanghai,0014308,0014311,2.9316667428072236,8,13.088519949486043
shanghai,0014308,0014339,4.385899635331749,6,34.73726381283437
shanghai,0014308,0014341,4.350034290638411,5,30.09477645738822
shanghai,0014308,0063064,4.317685171449418,6,26.442039272469078
shanghai,0014308,0063060,3.7545104667990428,24,37.42334132366344
shanghai,0014308,0063067,3.6791993170333024,17,31.44339566166714
shanghai,0014308,0014332,3.6554363292487135,11,26.652572896779574
shanghai,0014308,0063082,3.6380555559827243,14,29.147826495434092
shanghai,0014308,0063057,3.6351177963849963,6,19.028980901885024
shanghai,0014308,0037671,2.6437030801923305,7,9.590811617764272
shanghai,0014308,0063084,2.514255079585703,6,8.205550866850038
shanghai,0014310,0014311,4.094717102680535,5,21.942858659715892
shanghai,0014311,0063067,3.8492472865255767,6,21.400858403836903
shanghai,0014332,0063060,3.6644888076565314,5,19.13259380781093
shanghai,0014332,0063082,4.340568311774873,7,33.09824495757912
shanghai,0014332,0063067,3.5400277667847044,5,15.297647151816147
shanghai,0014350,0014622,4.418662736015075,5,30.688891200833726
shanghai,0014350,0014626,4.3764207252748255,5,25.098557836845565
shanghai,0014351,0014622,4.356545531030715,10,37.02533252899316
shanghai,0014351,0014634,5.458686195298555,5,49.89950534005283
shanghai,0014351,0014632,4.222278731125068,5,24.6744204051759
shanghai,0014363,0014373,5.672877945235915,5,67.91405916805023
shanghai,0014373,0014374,5.781161773485658,12,104.72924315171072
shanghai,0014373,0014375,5.672061889518098,5,67.69273396674609
shanghai,0014441,0014467,7.118251670422789,5,142.10592329294408
shanghai,0014474,0073066,5.646425821914392,7,65.35295140409625
shanghai,0014474,0040460,5.568588277836505,5,47.868249060671616
shanghai,0014474,0016119,4.250432748180254,6,25.141660785809986
shanghai,0014474,0016121,3.8687194404581913,11,26.015530276276408
shanghai,0014474,0016120,3.6714171356538676,6,17.465371492062413
shanghai,0014474,0016117,3.388155443576557,5,13.943891593488283
shanghai,0014478,0014481,5.66661111689708,20,109.13235794882846
shanghai,0014478,0232412,4.952016552345002,6,39.00046987715884
shanghai,0014478,0073836,3.6146296676954277,6,18.104461910589524
shanghai,0014478,0035648,2.8290117610006504,6,10.99889743460214
shanghai,0014480,0014486,6.176543871728973,7,90.33406764844952
shanghai,0014486,0114215,5.145450171546021,5,45.17395254150205
shanghai,0014486,0114216,4.963445535325789,5,38.36919025316443
shanghai,0014499,0080125,6.266262228520349,6,86.69709562677457
shanghai,0014502,0080125,6.331491412564794,9,112.54319688855703
shanghai,0014509,0079003,6.6037893108536245,6,90.43335508969938
shanghai,0014509,0079006,6.260738147224038,6,87.63057532685438
shanghai,0014517,0079006,6.643466187095998,5,85.30592753893094
shanghai,0014519,0014524,6.6339693819324275,6,105.96133052273468
shanghai,0014524,0014525,6.605781482882659,5,94.66294401793206
shanghai,0014541,0014559,7.419127233530726,5,142.11423718479878
shanghai,0014561,0078863,7.1561895879829,7,142.1071642511759
shanghai,0014622,0014628,4.43408169547996,10,38.36288722227425
shanghai,0014622,0014627,4.33437370598203,15,42.87075876324954
shanghai,0014622,0014634,4.181746486734927,6,23.213989800107605
shanghai,0014622,0014626,3.88966497678772,19,33.03744303531689
shanghai,0014622,0014632,3.8859597752089066,12,29.42165405749156
shanghai,0014622,0014624,3.7682912338075747,6,21.250141024725405
shanghai,0014624,0014626,4.414787911179022,9,34.748012259005755
shanghai,0014624,0014627,4.747324609505652,8,40.22937012279945
shanghai,0014626,0014628,4.522079392358619,9,35.75678331771498
shanghai,0014626,0014632,4.2655453765455045,12,36.78859253597882
shanghai,0014626,0014627,3.6235843863764616,6,17.884767680394955
shanghai,0014627,0014632,3.562954892991546,5,15.038623772707826
shanghai,0014629,0014632,5.506995833317439,6,59.47719888408071
shanghai,0014640,0014642,6.698011732238194,6,103.53033207784588
shanghai,0014642,0040446,6.682550190143925,5,97.3213573346543
shanghai,0014646,0014647,6.433005479734795,5,94.3600456709538
shanghai,0014647,0014649,5.881783535744249,6,76.1892881903635
shanghai,0014649,0014650,6.383386556325389,5,98.95177914407961
shanghai,0014652,0014655,6.327651573292898,7,98.35158700518447
shanghai,0014652,0014653,5.9040144644215085,8,79.97780119514294
shanghai,0014653,0014654,6.419598172828139,5,88.84563088832094
shanghai,0014661,0014662,7.065779835714355,5,142.10410011734845
shanghai,0014668,0014669,7.0178271476863,5,142.1023186556694
shanghai,0014672,0014673,5.514469114311692,6,60.612111936097946
shanghai,0014672,0014682,5.043549489176969,9,53.52190783799227
shanghai,0014673,0014682,4.997862913942355,8,50.13097919895274
shanghai,0014676,0014677,7.216591884515146,5,142.10901495013889
shanghai,0014680,0014682,3.9635639263759472,5,21.560424106301074
shanghai,0014680,0014681,5.451617170511608,9,70.72739813894542
shanghai,0014680,0014683,5.3329629686463065,9,66.05781474936836
shanghai,0014681,0014682,4.645524172588847,6,36.73131386626926
shanghai,0014682,0014683,4.84362608924114,9,47.12380988306364
shanghai,0014686,0014695,5.269918599231712,5,52.95302063590781
shanghai,0014687,0014695,5.374919423473314,11,80.59272737280894
shanghai,0014689,0014695,5.279562487734138,6,55.03562326955816
shanghai,0014691,0014695,5.329544945062235,8,67.2159453039149
shanghai,0014694,0014695,5.290074036805378,6,57.398999201706204
shanghai,0014724,0014727,4.766863669224965,7,41.405523128726706
shanghai,0014724,0014731,4.081369403404289,7,23.089525120516214
shanghai,0014726,0014731,3.528423506169079,8,19.193281424576472
shanghai,0014726,0014732,4.3818486584756045,9,34.86571681584036
shanghai,0014726,0014728,4.177388663826709,7,28.409818323041858
shanghai,0014726,0014734,3.9940298411239166,6,25.1586111714383
shanghai,0014726,0014730,3.206152920781138,5,13.849854394450862
shanghai,0014727,0014729,4.659482748931906,15,53.91200039644681
shanghai,0014727,0014728,4.019716288007352,9,28.932321047423585
shanghai,0014727,0014734,3.495096382281873,7,18.148712590453844
shanghai,0014727,0014731,3.3615759382934245,9,19.338141029503674
shanghai,0014727,0014730,3.0968114282998096,8,14.780241236137732
shanghai,0014728,0014731,3.3969869230008634,8,17.123457677115052
shanghai,0014728,0014734,3.793087504950871,6,20.941393304530582
shanghai,0014728,0014730,3.619531259029965,11,21.449877671168178
shanghai,0014729,0014731,2.978304358467021,5,10.96591857226675
shanghai,0014729,0014730,3.7859330786710457,11,24.859757660346038
shanghai,0014729,0014732,3.826731155527221,6,19.91920629776631
shanghai,0014730,0014731,3.8544539192146994,17,35.32398393950297
shanghai,0014730,0014735,4.913820328632571,6,38.81758588915516
shanghai,0014730,0014733,4.901506014998204,5,36.951865526189735
shanghai,0014730,0014732,3.7430330709478508,10,24.282027141352604
shanghai,0014730,0014734,3.3692262715938197,8,17.730136190158504
shanghai,0014731,0014743,4.965609326891879,7,47.6778485314611
shanghai,0014731,0014734,3.6544727551604916,9,23.6561552304348
shanghai,0014731,0014732,3.3922205086304524,8,17.029742448787044
shanghai,0014732,0014734,4.030275563940392,7,26.573980470849726
shanghai,0014761,0014784,7.230356961720962,5,142.10941625651478
shanghai,0014786,0014795,6.678527410027326,6,106.0025397861026
shanghai,0014786,0014794,5.1741239070093,5,40.65700096687312
shanghai,0014787,0014796,6.250285632788999,11,117.60800847551789
shanghai,0014792,0014797,5.414363222336838,7,54.98371413562081
shanghai,0014792,0147416,5.165297365410019,7,45.07428829484849
