city_code,merchant_a,merchant_b,weight,sppmi,support,z_score
shanghai,0000003,0070169,4.421458624324622,,7,
shanghai,0000003,0015480,2.6990299129458126,,5,
shanghai,0000003,0158788,2.240170273773253,,3,
shanghai,0000003,0090413,2.1248470477732657,,3,
shanghai,0000003,0117065,2.0818545002272377,,4,
shanghai,0000003,0203649,1.8149205133808892,,4,
shanghai,0000003,0044212,1.5420454338231515,,4,
shanghai,0000004,0070169,5.142293881718271,,6,
shanghai,0000004,0203649,0.8381357469225506,,3,
shanghai,0000004,0035647,5.713477620161908,,7,
shanghai,0000004,0204331,1.6652667004204391,,3,
shanghai,0000006,0036687,3.2678653411160083,,4,
shanghai,0000006,0129232,2.0724065034625343,,3,
shanghai,0000007,0235046,5.616516161470721,,8,
shanghai,0000007,0235047,4.94280424905806,,6,
shanghai,0000007,0035644,2.17854801418882,,3,
shanghai,0000009,0076995,1.8775441107591913,,3,
shanghai,0000039,0000041,2.1366163048153854,,3,
shanghai,0000131,0150980,2.5103333082363433,,3,
shanghai,0000202,0082069,7.734888683650108,,9,
shanghai,0000202,0082071,4.013270545643496,,5,
shanghai,0000220,0000250,1.2466069338741208,,3,
shanghai,0000227,0000250,2.993485266175581,,4,
shanghai,0000246,0000253,2.0436432741071555,,3,
shanghai,0000250,0000253,2.2410174179657663,,3,
shanghai,0000259,0000273,3.6677668807097956,,5,
shanghai,0000261,0000264,1.828720824252691,,3,
shanghai,0000264,0000299,3.1781220935735326,,5,
shanghai,0000264,0000266,2.0280051011548936,,3,
shanghai,0000264,0000294,1.9497062140095944,,3,
shanghai,0000264,0000277,1.8398507196786227,,3,
shanghai,0000264,0000306,1.8340721115983458,,3,
shanghai,0000264,0000308,1.6421040952153965,,3,
shanghai,0000271,0000304,1.339982941941635,,3,
shanghai,0000273,0000301,4.868553153012019,,5,
shanghai,0000273,0000275,1.8531033981307083,,3,
shanghai,0000306,0000308,1.432623886487102,,3,
shanghai,0000404,0000438,3.8853241004526153,,7,
shanghai,0000404,0000431,2.2518318063093354,,4,
shanghai,0000407,0000438,3.943081154037199,,6,
shanghai,0000410,0000438,2.6413162761883537,,5,
shanghai,0000411,0000438,2.635126799130547,,4,
shanghai,0000413,0000431,1.5047208688126297,,3,
shanghai,0000413,0000438,1.959723082946164,,3,
shanghai,0000414,0000431,2.0784391981667882,,4,
shanghai,0000414,0000438,2.1353861077426544,,3,
shanghai,0000416,0000438,2.4506688614066565,,4,
shanghai,0000417,0000438,5.61046671045858,,9,
shanghai,0000431,0000438,6.360319463354093,,8,
shanghai,0000431,0000432,3.4253606981236904,,5,
shanghai,0000431,0000434,2.41624681245995,,3,
shanghai,0000431,0000442,1.908138229952708,,4,
shanghai,0000431,0000444,1.5292410718050742,,3,
shanghai,0000431,0000437,1.0339664350098665,,3,
shanghai,0000432,0000438,4.197389857381816,,6,
shanghai,0000437,0000438,3.0784721491722102,,5,
shanghai,0000438,0000444,5.6560899673584535,,8,
shanghai,0000438,0000450,3.609069100689953,,4,
shanghai,0000438,0000442,3.2257005757663872,,5,
shanghai,0000445,0000450,1.5950495353447083,,3,
shanghai,0000467,0000487,2.6603661756587345,,4,
shanghai,0000467,0000491,1.4611214290639243,,3,
shanghai,0000469,0000487,2.748552723548586,,4,
shanghai,0000473,0000487,2.121322173276907,,3,
shanghai,0000482,0000487,1.9292685173734707,,3,
shanghai,0000537,0000573,2.4335339265018363,,3,
shanghai,0000547,0000577,2.4254492152300626,,3,
shanghai,0000566,0000585,2.4593107871070337,,3,
shanghai,0000606,0000616,1.9769482709436095,,3,
shanghai,0000628,0000656,3.3910373624052763,,5,
shanghai,0000634,0000663,2.0176642254420836,,3,
shanghai,0000640,0000662,1.9189551964920577,,3,
shanghai,0000644,0000656,2.4348698497214705,,4,
shanghai,0000646,0000663,2.7410455624234586,,4,
shanghai,0000648,0000663,2.3137622308576726,,4,
shanghai,0000648,0000662,1.9905696925617173,,3,
shanghai,0000648,0000667,2.6492994287715996,,3,
shanghai,0000649,0000656,2.346836210804706,,3,
shanghai,0000656,0000657,2.804760193038165,,4,
shanghai,0000656,0000663,2.291292123261632,,3,
shanghai,0000657,0000662,3.138738385703922,,5,
shanghai,0000659,0000663,1.867223542248219,,3,
shanghai,0000669,0000708,4.670041398712541,,5,
shanghai,0000669,0000688,3.2223399442629383,,5,
shanghai,0000669,0000709,2.7665314768195106,,3,
shanghai,0000669,0000677,1.9183742886107216,,3,
shanghai,0000678,0000708,2.7734497182349127,,4,
shanghai,0000678,0000710,2.0990637078009535,,3,
shanghai,0000682,0000708,3.004140357452476,,4,
shanghai,0000682,0000716,2.4171050105363707,,3,
shanghai,0000682,0000707,1.9089251762888206,,3,
shanghai,0000694,0000708,2.2358214414084365,,3,
shanghai,0000699,0000708,1.8236828088560095,,3,
shanghai,0000703,0000708,4.519440361169768,,6,
shanghai,0000707,0000709,1.9443934717296667,,3,
shanghai,0000708,0000712,2.199030409357746,,3,
shanghai,0000709,0000716,2.0295734916320463,,3,
shanghai,0000745,0000759,2.057746263677498,,4,
shanghai,0000748,0000759,1.9536030736305827,,4,
shanghai,0000772,0000805,1.6238055793325605,,3,
shanghai,0000778,0000805,2.114202016120996,,3,
shanghai,0000785,0000805,1.903367610445013,,3,
shanghai,0000798,0000805,2.7430278416709375,,3,
shanghai,0000844,0000868,1.702870293594832,,3,
shanghai,0000857,0000868,2.4047975033027362,,4,
shanghai,0000858,0000868,2.993544187281944,,4,
shanghai,0000860,0000871,1.9341703803401336,,3,
shanghai,0000861,0000868,2.1254641049611847,,3,
shanghai,0000862,0000871,1.7487534316105837,,3,
shanghai,0000864,0000868,2.9561311664230514,,4,
shanghai,0000864,0000871,2.7373738203513978,,4,
shanghai,0000868,0000870,2.4463768477322585,,4,
shanghai,0000868,0000872,2.18656596224337,,3,
shanghai,0000918,0000948,2.5430818216467865,,4,
shanghai,0000923,0000951,2.715867231541189,,4,
shanghai,0000925,0000948,3.1004796723588055,,5,
shanghai,0000929,0000950,2.9341198723774027,,3,
shanghai,0000933,0000948,2.0526686770250984,,3,
shanghai,0000937,0000948,3.0546461076938463,,4,
shanghai,0000938,0000948,2.711517340761576,,5,
shanghai,0000941,0000948,2.1371563789544332,,3,
shanghai,0000943,0000948,1.8933307724511468,,3,
shanghai,0001065,0001073,1.814425673021841,,3,
shanghai,0001073,0001078,3.507134995974173,,5,
shanghai,0001113,0001149,3.4299616782894624,,4,
shanghai,0001113,0001161,2.9610487188232066,,4,
shanghai,0001113,0001137,2.666519642624092,,3,
shanghai,0001113,0001173,2.2481691587423187,,4,
shanghai,0001114,0001168,3.722913825027377,,5,
shanghai,0001117,0001168,2.8318905844174607,,4,
shanghai,0001120,0001161,2.724638080330337,,4,
shanghai,0001123,0001161,0.9696776166892219,,3,
shanghai,0001123,0001173,2.5659200603326973,,4,
shanghai,0001123,0001168,2.749717393361917,,4,
shanghai,0001125,0001140,3.7803289854994198,,5,
shanghai,0001126,0001168,2.5297085602797944,,3,
shanghai,0001126,0001140,2.230593504672413,,3,
shanghai,0001132,0001168,3.1713567025108937,,4,
shanghai,0001137,0001140,2.0331167859215706,,3,
shanghai,0001138,0001173,3.236335040901483,,5,
shanghai,0001138,0001168,2.464866557538736,,3,
shanghai,0001139,0001168,2.3783831476690818,,3,
shanghai,0001139,0001140,2.143911642598472,,3,
shanghai,0001140,0001171,2.426457408155863,,3,
shanghai,0001140,0001163,2.4183975381511984,,3,
shanghai,0001143,0001173,1.6423134276641393,,3,
shanghai,0001143,0001168,2.2913748497239776,,3,
shanghai,0001147,0001161,1.4381533670927988,,3,
shanghai,0001147,0001168,2.224568533687683,,3,
shanghai,0001155,0001161,2.456375396201689,,4,
shanghai,0001155,0001173,1.955587723055929,,4,
shanghai,0001155,0001168,2.6590404656195714,,3,
shanghai,0001156,0001173,2.2016608618461753,,4,
shanghai,0001157,0001161,2.0227229803062325,,3,
shanghai,0001159,0001161,2.021078554777126,,3,
shanghai,0001159,0001168,3.4728472807086246,,5,
shanghai,0001161,0001173,2.3083996382357257,,3,
shanghai,0001161,0001171,1.917824314400498,,3,
shanghai,0001161,0001163,1.910846647090242,,3,
shanghai,0001165,0001168,3.520158572206409,,4,
shanghai,0001168,0001175,2.1633553520286872,,3,
shanghai,0001179,0001225,2.4107027223975255,,3,
shanghai,0001180,0001225,3.0988991234782426,,4,
shanghai,0001183,0001225,4.0215858523297605,,6,
shanghai,0001185,0001225,2.428473416984581,,3,
shanghai,0001185,0001227,2.154480694823985,,3,
shanghai,0001186,0001225,2.3323869295937802,,3,
shanghai,0001186,0001227,2.845135022876738,,4,
shanghai,0001187,0001225,3.5589467381783177,,5,
shanghai,0001187,0001227,1.6024729460417613,,3,
shanghai,0001189,0001225,1.9277193558077326,,3,
shanghai,0001189,0001227,2.124647030271559,,3,
shanghai,0001191,0001225,3.7464693777226685,,6,
shanghai,0001191,0001233,1.4990874092882116,,4,
shanghai,0001192,0001225,1.9244399441020004,,3,
shanghai,0001193,0001227,1.3241541019566085,,3,
shanghai,0001199,0001225,2.5415426620073034,,4,
shanghai,0001199,0001227,2.4562622781799597,,4,
shanghai,0001199,0001228,2.246306722223875,,3,
shanghai,0001200,0001225,2.2694497780037746,,4,
shanghai,0001201,0001225,2.556232165039142,,3,
shanghai,0001201,0001227,1.8507948309488533,,3,
shanghai,0001202,0001227,2.0985373211689007,,3,
shanghai,0001203,0001225,2.145470339291886,,3,
shanghai,0001204,0001227,2.3334200450471028,,4,
shanghai,0001204,0001233,1.48189265187609,,3,
shanghai,0001205,0001227,1.1145649932483739,,3,
shanghai,0001205,0001233,1.8975194183304749,,3,
shanghai,0001206,0001225,2.3604950418604016,,3,
shanghai,0001206,0001227,2.0235287227972747,,3,
shanghai,0001206,0001233,2.037595930220144,,3,
shanghai,0001208,0001227,2.3120094713985484,,3,
shanghai,0001209,0001233,2.150893488176563,,4,
shanghai,0001210,0001227,2.238881707508349,,3,
shanghai,0001223,0001225,2.627507708859337,,4,
shanghai,0001223,0001227,1.9203241961440523,,3,
shanghai,0001223,0001231,2.0635450695689377,,3,
shanghai,0001246,0001267,2.1113861500444093,,3,
shanghai,0001254,0001286,2.3354092522447454,,3,
shanghai,0001255,0001286,1.763761218703224,,4,
shanghai,0001269,0001286,2.005515418989793,,3,
shanghai,0001269,0001275,2.697400971495733,,3,
shanghai,0001270,0001281,1.9129306015745544,,3,
shanghai,0001275,0001278,2.624682762539428,,3,
shanghai,0001275,0001284,2.4014203470209474,,3,
shanghai,0001278,0001286,2.3139835376669446,,3,
shanghai,0001280,0001281,2.259364636280749,,3,
shanghai,0001280,0001283,2.8409986057314356,,4,
shanghai,0001281,0001286,1.6155819829952138,,3,
shanghai,0001282,0001286,1.95462931117149,,3,
shanghai,0001286,0001287,1.9013601068337924,,3,
shanghai,0001294,0001349,2.5955329182690283,,3,
shanghai,0001305,0001349,2.2669919500060685,,3,
shanghai,0001305,0001350,3.480010784542098,,5,
shanghai,0001308,0001350,3.2417546794896297,,4,
shanghai,0001312,0001349,3.5951764552034327,,5,
shanghai,0001312,0001350,4.089994951412036,,6,
shanghai,0001313,0001350,2.3140264072713723,,3,
shanghai,0001317,0001319,3.4942277118583505,,4,
shanghai,0001321,0001349,2.0996707472818206,,3,
shanghai,0001321,0001350,1.8434334877139045,,3,
shanghai,0001323,0001349,4.52213495246148,,7,
shanghai,0001324,0001349,2.810168717319763,,4,
shanghai,0001325,0001349,2.1742953628641812,,3,
shanghai,0001326,0001350,2.4457402803762434,,4,
shanghai,0001333,0001349,2.039243709250082,,3,
shanghai,0001345,0001349,2.077366894797081,,3,
shanghai,0001346,0001349,3.9380492895194603,,4,
shanghai,0001347,0001349,1.959297028799433,,3,
shanghai,0001349,0001350,2.35989477057999,,3,
shanghai,0001360,0001397,2.26800080076377,,3,
shanghai,0001402,0001421,3.284109547557022,,4,
shanghai,0001402,0001420,2.6218966346308106,,3,
shanghai,0001402,0001426,2.417195887146048,,3,
shanghai,0001409,0001440,2.5088714633088514,,4,
shanghai,0001414,0001437,1.850469410133078,,3,
shanghai,0001415,0001440,1.9236388020034472,,3,
shanghai,0001419,0001440,1.905073138538055,,3,
shanghai,0001420,0001440,2.1310077414805515,,3,
shanghai,0001423,0001440,2.715961369613238,,4,
shanghai,0001424,0001440,4.912971390036836,,7,
shanghai,0001427,0001440,5.035056347505771,,7,
shanghai,0001427,0001454,2.5642949502453654,,4,
shanghai,0001429,0001440,1.9411397164012243,,3,
shanghai,0001429,0001442,2.18282159133394,,3,
shanghai,0001430,0001437,3.353657867694663,,5,
shanghai,0001431,0001437,1.6686478865283954,,3,
shanghai,0001432,0001440,3.826564161494369,,5,
shanghai,0001434,0001440,1.801724322803861,,3,
shanghai,0001437,0001440,6.627140560149809,,10,
shanghai,0001440,0001441,3.8514300464161,,4,
shanghai,0001440,0001449,3.3571757575015297,,5,
shanghai,0001458,0001517,2.2128697212300694,,4,
shanghai,0001460,0001517,2.3456291589953784,,4,
shanghai,0001460,0001518,1.7828299648754182,,3,
shanghai,0001460,0001516,1.7400602690095197,,3,
shanghai,0001461,0001516,2.171025298102159,,4,
shanghai,0001461,0001506,1.5604148921272811,,3,
shanghai,0001464,0001516,3.478819541495828,,5,
shanghai,0001464,0001510,2.7818761425505363,,3,
shanghai,0001468,0001517,2.010809273680695,,4,
shanghai,0001470,0001516,2.8024972806857504,,4,
shanghai,0001473,0001517,2.916241405837579,,5,
shanghai,0001473,0001516,2.8040408186713655,,4,
shanghai,0001473,0001506,2.085579376837137,,4,
shanghai,0001474,0001506,1.5335893533615104,,3,
shanghai,0001475,0001517,1.8690712175218058,,3,
shanghai,0001475,0001518,1.442400092926234,,3,
shanghai,0001480,0001517,2.029295431898623,,3,
shanghai,0001481,0001517,3.2291399045100264,,5,
shanghai,0001481,0001516,2.25647451395595,,3,
shanghai,0001481,0001511,2.1786628080371897,,3,
shanghai,0001483,0001516,2.275285868500234,,3,
shanghai,0001487,0001516,1.96474670871714,,3,
shanghai,0001488,0001516,2.0124303881298395,,3,
shanghai,0001506,0001508,2.687536514072337,,4,
shanghai,0001508,0001517,1.7204320529905983,,3,
shanghai,0001526,0001548,1.5661996325719605,,3,
shanghai,0001566,0001605,3.755724923002187,,5,
shanghai,0001566,0001597,2.0161244130688134,,3,
shanghai,0001572,0001593,2.252397775642266,,3,
shanghai,0001573,0001605,2.3770558277454064,,3,
shanghai,0001581,0001593,2.4017095270440594,,4,
shanghai,0001593,0001594,2.7868968934123015,,3,
shanghai,0001607,0001630,1.9129453689195093,,3,
shanghai,0001660,0001691,1.652186031122612,,3,
shanghai,0001666,0001691,1.6443910041226761,,3,
shanghai,0001670,0001691,1.9207352908826507,,3,
shanghai,0001688,0001689,1.5535339847423026,,3,
shanghai,0001702,0001737,2.421387046571975,,3,
shanghai,0001711,0001737,1.9046550030331928,,3,
shanghai,0001714,0001738,2.7281896772869665,,3,
shanghai,0001718,0001734,2.1162887418698744,,3,
shanghai,0001742,0001791,2.4338679271301467,,4,
shanghai,0001742,0001780,1.947055480467253,,3,
shanghai,0001744,0001780,3.0170979718591973,,4,
shanghai,0001747,0001780,2.008559395282624,,3,
shanghai,0001748,0001780,1.9567538189314209,,3,
shanghai,0001756,0001791,2.4091425478527664,,4,
shanghai,0001759,0001780,2.8581080950770428,,4,
shanghai,0001759,0001791,3.362593485297189,,4,
shanghai,0001760,0001791,2.1603459403225505,,4,
shanghai,0001760,0001786,2.055898655816829,,3,
shanghai,0001761,0001780,3.565732252976408,,5,
shanghai,0001761,0001791,3.731338845731784,,5,
shanghai,0001761,0001786,2.2297422761956174,,3,
shanghai,0001762,0001791,1.8983803506892891,,3,
shanghai,0001767,0001791,2.079141017091222,,3,
shanghai,0001770,0001780,2.2113350276703847,,3,
shanghai,0001772,0001791,1.840770386674566,,3,
shanghai,0001773,0008390,1.5307465454441742,,3,
shanghai,0001780,0001791,3.9113969542449363,,5,
shanghai,0001780,0001799,2.1308566157567155,,3,
shanghai,0001780,0001790,1.616535052569378,,3,
shanghai,0001786,0001795,5.832550805587414,,6,
shanghai,0001786,0001790,2.259689552100877,,3,
shanghai,0001786,0001800,2.0633953813754884,,3,
shanghai,0001791,0001800,3.5872367969201537,,6,
shanghai,0001791,0001796,2.7149119394415737,,3,
shanghai,0001791,0001799,1.9928573064514719,,3,
shanghai,0001858,0001861,2.0024565174638598,,3,
shanghai,0001858,0001886,1.6808516462660492,,3,
shanghai,0001858,0001885,1.4862431304312307,,3,
shanghai,0001914,0001923,2.150028161874488,,3,
shanghai,0001916,0001923,2.252091395745861,,3,
shanghai,0001916,0001922,3.1238688123339466,,4,
shanghai,0001916,0001917,2.8549763733512292,,3,
shanghai,0002133,0002138,1.2954838043280321,,3,
shanghai,0002138,0002141,2.0809841233108815,,3,
shanghai,0002138,0002168,1.6210415915372813,,3,
shanghai,0002138,0002159,1.5553243790438105,,4,
shanghai,0002138,0002139,1.3546685056601215,,3,
shanghai,0002139,0002171,1.8931355428066046,,3,
shanghai,0002140,0002171,2.457352564951018,,3,
shanghai,0002141,0002171,1.9162122422829126,,3,
shanghai,0002152,0108566,1.51746473082882,,3,
shanghai,0002160,0002171,1.447385457569546,,3,
shanghai,0002185,0002233,1.8053312443276361,,3,
shanghai,0002193,0002225,2.2111453679314215,,3,
shanghai,0002197,0002224,2.1092147514342607,,3,
shanghai,0002200,0002225,2.9243517363278415,,5,
shanghai,0002200,0002224,1.8717020855662438,,3,
shanghai,0002204,0002225,3.270537744389893,,5,
shanghai,0002210,0002225,2.6802884878851545,,4,
shanghai,0002214,0002225,2.843561406472453,,4,
shanghai,0002223,0002224,1.4388093414956575,,3,
shanghai,0002224,0002225,2.715146213229813,,4,
shanghai,0002224,0002231,2.1604432747815268,,3,
shanghai,0002225,0002231,1.714265930131507,,3,
shanghai,0002267,0002301,1.691329336862713,,3,
shanghai,0002270,0002301,1.6115840261501475,,3,
shanghai,0002270,0002285,3.263380560245882,,5,
shanghai,0002272,0002301,1.9727528828207657,,3,
shanghai,0002276,0002301,3.0926877683135503,,4,
shanghai,0002276,0002285,3.755759741517373,,5,
shanghai,0002279,0002299,3.393647928201863,,4,
shanghai,0002279,0002310,1.8046068031869622,,3,
shanghai,0002282,0002285,2.3970700312163085,,3,
shanghai,0002285,0002301,6.481312804621373,,8,
shanghai,0002285,0002292,4.350962315892517,,6,
shanghai,0002285,0002321,4.063951384789721,,6,
shanghai,0002285,0002303,3.549287516471411,,5,
shanghai,0002285,0002315,3.3149202849610955,,5,
shanghai,0002285,0002309,3.265091839277925,,5,
shanghai,0002285,0002310,2.773583638508747,,4,
shanghai,0002285,0002290,1.8200496980307213,,3,
shanghai,0002285,0002311,1.6459984238829142,,3,
shanghai,0002295,0002301,2.3249378414535062,,3,
shanghai,0002301,0002321,5.629578178082494,,9,
shanghai,0002301,0002310,2.3598324377620123,,4,
shanghai,0002330,0002349,1.9784714416689784,,3,
shanghai,0002338,0002351,3.714592903159165,,5,
shanghai,0002340,0002351,2.970102029154863,,4,
shanghai,0002345,0002349,1.6345636249003954,,3,
shanghai,0002345,0002351,2.211729055791095,,3,
shanghai,0002361,0002395,1.6025817837382865,,3,
shanghai,0002363,0002395,2.7426860213939555,,5,
shanghai,0002366,0002396,1.625939007089201,,3,
shanghai,0002367,0111411,1.7070366179907257,,3,
shanghai,0002371,0002395,1.816323931340636,,3,
shanghai,0002371,0002396,2.5106187844407324,,4,
shanghai,0002377,0002395,3.83430853244011,,6,
shanghai,0002377,0002396,2.967952252714744,,4,
shanghai,0002378,0002395,2.8815695907996557,,4,
shanghai,0002378,0002396,2.6787689484822206,,3,
shanghai,0002382,0002395,1.8005968107252546,,3,
shanghai,0002382,0002396,3.3219171033820483,,5,
shanghai,0002384,0002395,2.961173919573078,,4,
shanghai,0002384,0002396,3.220920327683982,,4,
shanghai,0002388,0002395,1.4389815897243108,,3,
shanghai,0002388,0002396,1.9269685910523047,,3,
shanghai,0002393,0002395,2.1827016911515402,,3,
shanghai,0002395,0002396,2.537930822961004,,3,
shanghai,0002396,0002397,2.1277768816592206,,3,
shanghai,0002445,0002455,1.9868005145780707,,3,
